Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,Antenna,C127629
BZ1,MagneticBuzzer_Huaneng_MLT-5020,1,Buzzer,C94598
"C1, C14, C16, C17, C2",0805,5,10u,C440198
"C10, C12, C20, C26, C27, C29, C3, C30, C31, C4, C5, C6, C7, C8, C9",0402,15,0u1,C307331
"C11, C13, C24, C28, C32, C33, C38, C40, C44, C46",0402,10,1u,C52923
"C18, C19",0402,2,12p,C1547
"C21, C34",0402,2,4u7,C23733
"C22, C23",0402,2,1p2,C76899
C25,0402,1,10u,C15525
"C35, C36, C41, C42",0402,4,22n,C1532
"C37, C43",0402,2,10n,C15195
"C39, C45",CP_Elec_6.3x7.7,2,100u,C165974
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2874885
D10,D_SOD-323,1,100,C2128
D11,D_SOD-123,1,16,C19077429
"D12, D13",0805,2,GREEN,C2297
D14,0603,1,WHITE,C2290
D15,D_SOD-123,1,BZT52B3V3,C19077392
"D3, D4, D6, D8",Diode_DFN1006,4,H5VU10U,C22395519
"D5, D9",D_SMA,2,D_Schottky,C22452
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
J3,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Conn_01x02,C431092
J5,PinHeader_2x03_P2.54mm_Vertical,1,Conn_01x06,
L1,L_Sunlord_MWSA0402S,1,3u3,C167207
L2,0402,1,24n,C167472
L3,0402,1,6n8,C77110
"L5, L6",0402,2,2n7,C77108
"Q1, Q2",Vishay_PowerPAK_1212-8_Single,2,Q_NMOS,C111309
Q3,SOT-323_SC-70,1,Q_NMOS,C28646265
"R1, R2, R37, R39, R5, R7",0402,6,1k,C11702
R10,0402,1,52k3,C26982
"R11, R14, R16, R17, R27, R29, R31, R34, R35, R36, R38, R40",0402,12,10k,C25744
"R12, R22",0603,2,470k,C23178
"R13, R20",0402,2,1M,C26083
"R15, R18, R23, R25, R26, R3, R4",0402,7,5k1,C25905
R19,0603,1,3M,C23156
R21,0402,1,510,C25123
R24,0402,1,0,C17168
R28,0603,1,1k8,C4177
R30,0402,1,470,C25117
"R32, R33",0402,2,22,C25092
"R6, R9",0402,2,100,C25076
R8,1206,1,10m/1W,C105362
SW2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW_Push,C158012
"SW3, SW4",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
U1,SOT-583-8,1,TPS62933,C3200405
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,BQ77905,C2866527
U3,ST_VL53L1x,1,VL53L0CXV0DH1,C91199
U4,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S3FN8,C3013940
U5,DFN-6-1EP_2x2mm_P0.5mm_ST,1,LDL212PV33R,C2969892
"U6, U7",Texas_RGE0024B_VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,2,DRV8424RGER,C1518725
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48M,C7206306
